P22,P2002,P3,P2,P1304,P2004,P28,P803,P1303,P27,P1301,P25,P23,P802,P0A,P2001,P801,P1,CAPITAL,CCAA,P14R,P26,P4,P804,P19,TAMUNI,P1302,ESTUDIOS,P2003
1,5,-4,-3,3,6,1,-4,1,2,3,1,48,-3,1,9,-3,-3,3,11,2,2,4,-3,4,1,5,5,3
2,7,-4,-3,6,5,1,-5,3,1,10,6,23,-3,1,8,-4,-3,3,11,17,2,5,-5,6,1,4,6,5
1,3,-4,-1,6,5,1,-5,0,1,9,1,24,-4,1,7,-2,-1,3,11,18,2,3,-3,5,1,6,4,1
2,6,-5,-1,10,6,1,-5,0,2,6,6,28,-4,1,7,-2,-1,3,11,4,2,5,-2,5,1,7,6,1
2,5,-5,-1,6,6,1,-5,0,1,10,4,37,-5,1,9,-2,-2,3,11,1,2,3,-3,7,1,0,5,1
2,4,-5,-2,10,6,1,-5,0,1,5,7,63,-4,1,8,-3,-4,3,11,4,2,3,-4,6,1,3,2,2
1,3,-5,-1,9,5,1,-5,0,1,9,6,22,-4,1,7,-2,-1,3,11,1,2,4,-2,7,1,0,4,1
1,6,-4,-2,0,9,1,-3,0,1,5,4,55,-4,1,8,-4,-2,3,11,7,2,4,-4,4,1,5,4,5
2,4,-3,-1,0,5,1,-4,0,1,10,4,52,-3,1,8,-1,-2,3,1,1,2,3,-4,7,3,0,6,3
2,5,-3,-1,0,9,1,-3,7,1,0,1,41,-3,1,10,-5,-1,3,1,3,5,3,-5,4,3,7,6,2
2,4,-3,-1,6,6,1,-3,0,1,4,1,26,-4,1,7,-3,-2,3,1,4,2,3,-2,6,3,0,6,1
2,5,-5,-1,0,6,1,-5,0,1,10,1,57,-5,1,6,-1,-1,3,1,1,2,4,-2,6,3,0,4,1
1,4,-3,-3,0,5,1,-5,0,1,0,2,73,-1,1,7,-5,-1,3,1,2,1,2,-5,5,3,10,3,1
1,3,-5,-1,8,6,1,-5,0,2,0,1,41,-5,1,8,-4,-2,3,1,4,5,3,-3,5,3,0,6,1
1,3,-1,-1,0,8,1,-3,0,1,0,2,70,-1,1,10,-5,-2,3,1,2,2,3,-5,3,4,10,6,2
2,4,-3,-2,0,8,1,-3,0,1,0,7,74,-2,1,8,-4,-2,3,1,5,2,3,-4,3,4,5,1,2
1,3,-3,-3,10,6,1,-3,0,1,0,4,46,-3,1,7,-3,-3,3,1,4,2,3,-3,5,4,0,5,3
1,4,-5,-3,5,6,1,-3,5,1,0,2,70,-3,1,9,-3,-4,3,1,2,2,5,-3,4,4,0,3,1
2,4,-3,-2,7,4,1,-3,0,2,0,4,37,-3,1,8,-3,-2,3,1,2,2,3,-2,4,3,7,3,2
1,6,-4,-1,6,5,1,-3,4,1,6,1,37,-3,1,8,-3,-2,3,1,97,2,3,-3,5,3,5,3,4
2,4,-5,-1,3,6,1,-5,3,2,0,5,18,-2,1,10,-5,-3,3,1,2,2,4,-2,4,3,10,3,7
2,4,-3,-3,7,7,1,-3,0,1,0,6,28,-3,1,7,-3,-3,3,1,4,3,2,-3,7,3,0,4,1
1,5,-5,-1,0,7,1,-3,5,2,0,6,19,-4,1,8,-4,-2,3,1,3,5,4,-4,3,3,5,5,1
1,2,-4,-2,2,2,1,-3,2,2,2,4,43,-3,1,5,-4,-4,3,1,2,2,4,-3,5,3,8,3,2
1,1,-4,-1,0,5,1,-2,0,2,0,1,40,-3,1,10,-3,-1,3,1,97,2,4,-2,5,3,10,5,1
1,5,-4,-3,8,7,1,-4,1,1,0,1,48,-4,1,9,-3,-2,3,1,97,5,3,-3,5,3,3,4,3
2,2,-4,-2,0,8,1,-2,10,2,0,1,49,-3,1,9,-4,-3,2,1,3,4,5,-4,3,5,7,3,3
2,2,-3,-1,8,8,1,-5,0,1,7,3,83,-4,1,8,-4,-3,2,1,4,1,4,-3,8,5,1,3,2
1,3,-5,-3,5,4,1,-4,5,2,3,4,32,-4,1,8,-4,-3,2,1,2,5,5,-4,4,5,6,5,5
1,3,-4,-2,0,10,1,-3,0,2,0,2,55,-3,1,10,-3,-2,3,1,2,2,5,-3,3,3,10,4,1
1,6,-3,-4,5,1,3,-5,5,2,5,2,84,-3,1,1,-4,-2,3,1,2,2,4,-5,5,3,8,1,1
1,4,-4,-3,8,5,2,-4,0,2,7,4,24,-4,1,7,-3,-3,3,1,4,2,3,-3,6,3,3,5,1
1,1,-5,-3,8,8,1,-5,0,1,1,2,64,-5,1,8,-4,-4,3,1,18,2,4,-3,5,3,0,5,1
2,3,-3,-3,7,5,2,-4,1,2,8,6,19,-3,1,7,-3,-1,3,1,1,1,3,-3,7,5,6,4,2
2,3,-3,-2,0,10,2,-4,0,2,0,1,44,-3,1,10,-4,-4,3,1,2,5,4,-4,3,5,10,6,3
1,5,-3,-1,0,8,2,-3,5,1,0,4,60,-3,1,8,-4,-2,3,1,3,5,4,-3,3,5,1,4,4
1,10,-5,-1,0,8,2,-5,1,1,0,5,26,-5,1,10,-5,-3,3,1,97,5,3,-5,98,5,0,6,3
1,5,-5,-3,0,8,2,-5,0,1,0,2,66,-4,1,9,-5,-4,3,1,2,2,4,-4,5,5,8,4,4
2,4,-5,-3,8,6,2,-4,0,2,7,1,44,-4,1,5,-3,-3,3,1,4,2,3,-2,5,5,1,6,3
1,8,-4,-1,0,9,2,-4,3,1,0,4,60,-5,1,10,-5,-4,3,1,3,5,4,-5,3,5,0,3,5
2,4,-5,-2,2,6,1,-4,0,1,0,1,55,-4,1,5,-4,-3,3,1,4,2,5,-4,3,5,1,5,1
2,3,-4,-1,8,6,2,-5,0,1,10,1,32,-5,1,6,-3,-2,3,1,1,2,3,-3,7,5,0,5,2
1,3,-4,-1,6,7,2,-5,0,2,1,4,34,-4,1,8,-3,-1,3,1,4,2,4,-2,7,5,1,3,1
1,4,-4,-3,6,6,1,-5,0,1,7,1,42,-4,1,6,-2,-4,3,1,1,2,3,-2,5,5,0,6,2
1,4,-3,-1,5,7,1,-3,7,2,0,1,54,-3,1,10,-5,-2,3,1,5,5,4,-4,3,4,9,5,3
1,1,-5,-4,7,5,2,-4,0,1,0,1,36,-4,1,7,-4,-4,3,1,97,2,5,-4,5,4,0,5,1
2,3,-5,-3,4,5,2,-5,3,1,3,4,41,-5,1,7,-4,-3,3,1,1,2,4,-4,7,4,3,5,1
2,3,-4,-2,2,5,2,-3,5,1,4,4,53,-3,1,3,-3,-3,3,1,2,1,3,-3,5,4,6,6,4
2,3,-4,-4,7,6,2,-4,0,1,8,1,34,-4,1,7,-4,-2,3,1,1,1,5,-4,7,4,0,5,1
1,3,-4,-4,0,9,1,-4,0,1,0,4,47,-2,1,8,-5,-4,3,1,2,2,4,-4,3,4,7,2,1
1,5,-5,-4,0,4,1,-4,0,1,5,2,65,-4,1,4,-4,-4,3,1,2,1,5,-4,4,4,6,2,1
2,4,-5,-2,0,8,1,-3,5,1,0,1,59,-4,1,8,-5,-4,3,1,5,2,5,-5,3,4,5,2,1
1,4,-5,-2,0,5,1,-5,0,2,0,1,37,-5,1,6,-5,-2,3,1,97,5,4,-5,5,4,0,3,1
2,4,-4,-1,0,9,1,-5,5,1,0,6,18,-5,1,8,-5,-2,3,1,2,5,3,-5,4,4,6,6,1
1,4,-3,-1,0,9,1,-2,8,2,0,2,61,-3,1,10,-5,-2,3,1,3,2,5,-5,4,4,5,2,4
1,3,-3,-2,5,7,1,-3,0,1,5,1,49,-3,1,8,-3,-2,3,1,2,2,4,-3,3,4,5,5,3
1,4,-3,-2,5,7,1,-4,0,1,0,2,67,-4,1,8,-4,-2,3,1,18,1,3,-4,9,4,3,4,2
1,3,-4,-3,0,9,1,-4,0,1,0,4,42,-4,1,8,-4,-3,3,1,97,4,4,-4,5,4,0,5,1
1,5,-4,-1,0,9,1,-4,5,1,0,2,61,-4,1,9,-4,-2,3,1,2,5,4,-4,3,4,5,6,3
2,4,-4,-3,0,9,1,-3,0,1,0,4,51,-3,1,8,-3,-4,3,1,5,5,3,-3,3,3,0,5,2
2,4,-4,-3,0,8,3,-5,0,1,0,2,65,-2,1,9,-2,-4,3,1,5,1,5,-5,2,3,5,2,2
1,5,-3,-1,0,6,1,-3,4,2,0,4,60,-4,1,8,-4,-2,3,1,97,2,3,-4,3,3,0,5,2
2,3,-5,-2,0,9,1,-4,0,1,0,4,42,-4,1,9,-4,-4,3,1,2,2,5,-4,3,3,4,5,2
2,3,-4,-2,7,8,1,-5,0,1,9,4,58,-5,1,8,-3,-2,3,1,1,2,4,-3,8,3,0,5,1
1,5,-5,-1,5,5,1,-5,5,2,1,4,29,-5,1,10,-5,-3,3,1,3,5,5,-5,1,3,2,3,4
2,5,-4,-1,8,7,1,-2,10,1,0,4,29,-3,1,7,-3,-1,3,1,3,2,4,-2,3,3,5,5,1
1,5,-5,-3,2,8,1,-3,4,1,0,4,36,-3,1,9,-5,-2,3,1,2,4,5,-4,5,3,7,6,1
2,4,-3,-1,6,6,1,-4,0,1,6,4,49,-3,1,8,-3,-3,3,1,1,1,3,-3,6,4,0,6,1
2,3,-4,-4,0,4,1,-4,0,1,0,7,41,-4,1,8,-4,-3,3,1,97,3,3,-4,5,4,0,5,1
2,3,-5,-1,5,4,1,-5,0,1,0,4,58,-4,1,9,-3,-3,3,1,4,2,5,-3,5,4,0,3,1
1,9,-5,-4,5,5,1,-4,0,1,0,2,72,-4,1,9,-4,-4,3,1,4,2,5,-2,5,4,0,1,10
1,1,-3,-4,0,6,1,-5,0,1,0,2,60,-3,1,7,-3,-3,3,1,2,2,3,-3,3,4,10,4,5
2,2,-3,-3,0,8,1,-4,3,1,0,7,30,-4,1,9,-4,-3,3,1,5,3,3,-4,5,4,0,5,1
1,6,-5,-1,0,9,1,-2,10,1,0,1,40,-3,1,10,-5,-1,3,1,3,4,5,-4,2,4,5,5,1
1,3,-5,-4,5,2,1,-5,4,1,0,1,38,-3,1,8,-4,-4,3,1,2,2,5,-3,2,4,6,2,1
2,4,-4,-2,8,8,1,-4,1,1,1,4,29,-4,1,8,-3,-2,3,1,18,2,4,-3,98,5,0,3,2
1,4,-3,-3,4,9,3,-4,6,2,6,4,56,-2,1,6,-3,-4,3,1,2,1,5,-4,4,5,8,2,2
2,2,-5,-3,0,7,1,-4,0,1,0,2,72,-4,1,8,-4,-4,3,1,2,2,3,-4,4,5,9,1,1
2,3,-4,-4,0,9,1,-4,0,1,0,3,64,-3,1,9,-4,-4,3,1,2,5,4,-4,3,5,6,1,2
1,4,-4,-4,8,7,1,-4,0,1,8,1,51,-3,1,8,-3,-3,3,1,1,1,3,-3,5,5,8,2,2
2,2,-3,-2,0,6,1,-4,0,1,5,4,40,-3,1,8,-3,-2,3,1,1,1,3,-4,7,5,5,2,1
1,3,-5,-1,2,4,1,-4,5,1,2,2,75,-3,1,8,-4,-1,3,1,2,1,5,-4,3,5,7,5,2
1,6,-5,-1,0,9,1,-2,8,2,0,1,25,-4,1,7,-5,-1,3,1,17,4,3,-4,1,5,3,3,5
2,3,-3,-1,0,7,1,-4,5,1,0,3,74,-3,1,8,-5,-1,3,1,2,2,3,-4,4,5,9,1,3
1,4,-3,-3,0,9,1,-4,0,1,5,1,37,-4,1,9,-4,-4,3,1,18,2,3,-4,8,5,0,2,2
2,6,-5,-1,5,6,1,-4,5,1,5,4,52,-4,1,6,-4,-3,3,1,97,1,5,-4,6,5,5,3,6
1,5,-3,-3,0,8,1,-4,0,1,0,5,22,-4,1,7,-4,-3,3,1,18,2,4,-4,9,5,0,3,2
1,4,-3,-3,2,8,1,-3,0,1,0,1,51,-3,1,7,-4,-3,3,1,2,2,3,-3,4,5,7,6,2
1,3,-3,-3,5,9,1,-4,5,1,0,1,33,-4,1,8,-4,-3,3,1,4,2,3,-4,5,5,5,3,2
1,3,-3,-3,0,5,1,-3,5,1,0,2,66,-3,1,8,-3,-3,3,1,2,2,3,-3,3,5,5,5,3
1,4,-4,-4,5,9,1,-4,0,1,6,1,56,-4,1,8,-4,-4,3,1,1,2,4,-4,8,5,0,3,3
1,4,-4,-3,3,8,1,-4,1,2,1,4,39,-3,1,9,-3,-3,3,1,2,2,4,-3,3,5,5,3,3
2,4,-4,-2,6,8,1,-4,0,1,0,3,72,-2,1,9,-4,-2,3,1,2,1,3,-4,3,5,8,2,1
2,3,-4,-1,0,9,1,-2,7,1,0,4,55,-3,1,9,-5,-2,3,1,3,1,5,-5,1,5,5,3,3
1,4,-4,-2,7,5,1,-3,5,2,0,1,54,-4,1,8,-4,-4,2,1,4,1,2,-2,6,5,5,5,3
2,3,-4,-3,5,6,1,-3,4,1,3,1,33,-3,1,7,-3,-2,2,1,97,2,3,-3,4,5,5,6,4
2,2,-5,-1,0,9,1,-4,0,1,0,7,70,-2,1,10,-4,-2,2,1,2,2,5,-4,1,5,9,3,2
2,3,-3,-2,3,7,1,-5,0,2,0,3,66,-2,1,8,-5,-3,2,1,2,2,4,-3,3,5,5,2,2
1,4,-4,-2,0,8,2,-2,7,1,0,1,38,-2,1,9,-5,-2,2,1,5,1,4,-4,3,5,7,5,2
1,2,-5,-4,5,8,1,-3,5,1,5,1,39,-3,1,8,-3,-4,2,1,97,5,5,-3,5,5,5,3,1
1,3,-5,-3,0,9,1,-3,5,2,0,1,41,-4,1,8,-4,-4,2,1,3,5,4,-4,2,5,0,5,2
1,8,-4,-1,0,9,1,-2,9,1,0,4,54,-4,1,9,-5,-1,2,1,3,5,5,-3,3,5,0,4,3
2,4,-5,-3,4,9,1,-3,6,1,0,1,32,-3,1,8,-4,-3,2,1,97,2,5,-3,3,5,5,6,2
1,4,-3,-1,0,8,1,-3,4,1,0,1,59,-3,1,8,-5,-1,2,1,2,4,3,-4,4,5,7,6,2
2,3,-5,-2,1,2,1,-5,1,2,8,4,41,-4,1,8,-2,-1,3,1,18,1,5,-4,8,4,1,5,1
2,2,-3,-3,8,3,1,-3,4,1,5,4,45,-4,1,7,-3,-3,3,1,18,1,3,-2,8,4,1,2,1
1,5,-4,-2,3,5,1,-5,1,1,5,2,64,-4,1,10,-5,-4,3,1,2,2,5,-5,4,4,8,4,3
1,3,-5,-1,0,6,1,-4,0,1,0,1,40,-4,1,8,-4,-3,3,1,97,5,4,-4,4,4,0,6,1
2,2,-4,-2,0,6,1,-4,0,1,0,1,26,-4,1,9,-5,-2,3,1,17,2,3,-4,1,4,0,6,1
2,3,-3,-2,0,1,2,-4,0,2,8,4,22,-2,1,7,-3,-3,3,1,1,2,5,-4,8,4,2,3,1
1,6,-4,-2,10,4,1,-4,0,2,0,1,49,-4,1,8,-4,-2,3,1,4,2,4,-4,5,4,0,6,3
2,5,-4,-4,0,4,1,-4,0,2,0,1,55,-4,1,10,-4,-3,3,1,5,2,4,-3,4,4,10,2,3
1,1,-4,-4,6,6,1,-5,0,1,6,1,56,-5,1,6,-3,-4,3,1,18,1,3,-3,7,4,0,3,1
2,2,-5,-3,4,6,1,-4,4,2,4,4,25,-4,1,7,-4,-4,3,1,97,5,5,-4,4,4,4,5,5
2,5,-3,-2,10,7,1,-4,0,1,0,6,20,-3,1,10,-3,-2,3,1,4,2,3,-2,6,4,0,4,1
2,6,-5,-2,0,5,1,-5,0,1,0,1,45,-5,1,10,-5,-3,3,1,5,5,5,-5,2,5,0,5,3
2,5,-4,-2,6,6,2,-5,0,2,0,1,30,-4,1,8,-3,-3,3,1,18,2,4,-3,5,5,0,2,1
1,1,-3,-2,5,7,2,-3,5,2,0,4,51,-3,1,10,-3,-3,3,1,2,2,3,-3,4,1,10,5,5
2,4,-4,-1,0,7,2,-3,5,2,0,4,57,-3,1,8,-4,-3,3,1,2,2,4,-3,3,1,10,3,1
1,4,-4,-1,10,6,2,-4,0,1,0,1,39,-4,1,7,-4,-2,3,1,4,2,4,-2,6,4,0,3,1
1,2,-4,-1,4,6,2,-5,0,1,0,1,49,-5,1,8,-5,-2,3,1,4,5,4,-4,3,4,4,6,2
2,2,-3,-4,5,7,2,-3,1,2,1,1,42,-3,1,9,-3,-3,3,1,2,2,3,-3,2,4,5,6,1
2,3,-3,-3,3,5,1,-3,9,1,7,4,26,-3,1,8,-3,-3,3,1,18,2,3,-2,8,4,6,4,1
1,9,-3,-2,6,4,1,-2,4,1,4,1,23,-3,1,4,-3,-3,3,1,5,5,3,-3,7,4,4,3,2
1,3,-4,-1,0,4,2,-5,0,1,0,1,45,-5,1,7,-3,-1,3,1,18,1,4,-5,8,4,0,5,1
2,6,-5,-2,0,8,2,-4,0,2,0,4,63,-2,1,10,-4,-2,3,1,2,2,5,-4,4,2,10,2,1
1,5,-5,-2,0,9,2,-3,5,1,0,1,23,-4,1,10,-5,-2,3,1,5,2,5,-4,3,2,0,3,1
2,4,-4,-3,0,7,2,-4,0,1,7,2,69,-3,1,8,-3,-3,3,1,1,1,4,-3,5,2,5,4,1
1,4,-3,-1,0,7,2,-3,0,2,0,4,49,-3,1,9,-3,-2,3,1,2,2,3,-3,3,2,10,3,1
1,5,-4,-2,0,8,2,-3,0,2,0,4,60,-3,1,10,-3,-4,3,1,97,4,4,-3,4,2,0,1,1
2,3,-5,-2,0,7,2,-2,0,2,0,1,23,-3,1,8,-3,-2,3,1,5,2,4,-4,5,2,5,4,6
1,3,-5,-2,0,7,2,-4,2,2,0,4,32,-3,1,8,-4,-4,3,1,2,2,5,-4,3,2,5,3,1
1,4,-5,-1,5,7,1,-5,0,1,8,1,37,-4,1,8,-3,-1,3,1,1,1,3,-4,8,5,0,6,3
1,4,-4,-2,4,8,1,-4,7,1,2,1,25,-3,1,8,-3,-2,3,1,3,2,3,-3,4,5,6,5,2
1,3,-5,-1,5,7,1,-3,9,1,0,4,38,-3,1,6,-4,-2,3,1,3,4,3,-4,3,5,9,6,1
1,3,-3,-1,6,8,1,-5,0,1,7,2,68,-5,1,8,-3,-1,3,1,1,2,3,-3,7,5,0,6,1
1,5,-4,-1,0,5,1,-5,0,1,0,2,73,-4,1,6,-3,-2,3,1,97,5,5,-4,1,5,0,6,4
1,1,-4,-3,0,9,1,-4,0,1,0,2,60,-4,1,9,-4,-4,3,1,97,2,4,-4,5,5,0,3,1
2,4,-4,-3,8,8,1,-4,0,1,9,4,56,-4,1,6,-3,-3,3,1,1,1,4,-3,7,5,0,2,2
2,3,-5,-3,6,8,1,-5,0,2,7,1,44,-5,1,8,-3,-2,3,1,1,1,3,-3,8,5,0,6,1
2,4,-4,-4,0,8,1,-4,0,2,0,4,45,-4,1,6,-3,-4,3,1,2,1,4,-3,5,5,2,6,2
1,3,-2,-2,6,6,1,-3,1,1,1,4,54,-1,1,8,-3,-2,3,1,2,5,3,-3,4,5,9,3,1
2,3,-4,-2,0,6,2,-3,0,2,0,1,32,-3,1,8,-3,-2,3,1,97,2,4,-3,3,3,5,5,2
1,5,-4,-1,0,6,1,-3,4,2,0,4,47,-3,1,8,-4,-3,3,1,97,4,4,-4,4,3,4,5,1
1,5,-5,-4,5,6,1,-4,4,1,0,1,40,-4,1,8,-4,-3,3,1,97,1,4,-3,5,3,0,2,1
1,4,-3,-1,5,3,2,-4,5,1,2,6,30,-3,1,6,-3,-3,3,1,2,1,2,-3,5,3,8,6,1
2,5,-5,-1,8,6,2,-4,0,2,0,4,49,-3,1,9,-3,-4,3,1,4,2,5,-2,5,3,0,3,1
2,3,-4,-1,3,7,1,-5,5,1,8,4,40,-4,1,8,-2,-2,3,1,2,2,4,-4,3,2,10,4,7
1,3,-5,-2,0,7,1,-2,0,2,0,2,55,-1,1,8,-5,-4,3,1,97,2,5,-4,3,2,10,3,2
1,6,-5,-2,4,6,1,-4,2,1,3,1,39,-4,1,8,-3,-1,3,1,4,5,4,-3,5,4,2,6,3
2,5,-4,-2,0,9,3,-4,0,1,0,7,69,-3,1,10,-4,-2,3,1,2,1,4,-4,2,4,10,2,5
1,5,-5,-2,0,10,1,-4,0,1,0,2,71,-4,1,10,-4,-4,3,1,2,1,3,-4,4,4,0,2,2
1,2,-4,-2,4,7,1,-4,6,1,4,1,45,-4,1,7,-3,-3,3,1,2,2,4,-4,3,4,8,5,2
2,6,-4,-2,0,5,3,-3,0,1,0,7,64,-4,1,8,-3,-2,3,1,2,2,4,-4,3,4,10,2,3
2,5,-5,-1,0,8,1,-4,0,1,0,4,44,-3,1,10,-5,-3,3,1,2,2,5,-4,3,4,10,2,1
1,4,-3,-1,10,6,1,-5,0,1,0,1,46,-4,1,8,-4,-2,3,1,4,2,3,-2,6,4,0,4,2
2,4,-4,-2,5,6,1,-5,5,1,10,1,54,-4,1,6,-3,-3,3,1,1,1,5,-3,6,4,5,6,2
2,3,-3,-1,0,8,1,-5,0,1,0,1,50,-2,1,9,-5,-1,2,1,2,2,3,-5,3,5,9,6,5
1,3,-4,-1,5,6,1,-5,0,1,8,1,66,-4,1,9,-4,-2,2,1,1,1,3,-3,7,5,0,6,1
1,8,-4,-1,0,9,1,-2,10,1,0,6,38,-5,1,10,-5,-1,2,1,3,5,5,-5,3,5,0,6,3
1,2,-4,-3,0,8,1,-3,5,1,0,1,52,-4,1,8,-4,-3,2,1,2,1,4,-4,3,5,8,4,3
1,2,-3,-2,0,9,1,-2,5,1,0,1,38,-2,2,9,-3,-2,2,1,2,2,3,-2,5,5,5,3,2
2,3,-3,-1,7,8,1,-3,4,2,7,4,30,-3,1,7,-2,-2,3,1,2,5,3,-3,5,3,8,6,1
1,6,-5,-1,4,3,1,-5,0,1,2,1,35,-3,1,7,-3,-2,3,1,5,2,5,-3,5,3,2,5,1
1,6,-4,-2,1,9,1,-3,3,1,0,4,44,-5,1,8,-5,-3,3,1,3,4,5,-5,2,3,1,5,2
2,2,-4,-1,9,5,2,-4,2,1,7,1,41,-4,1,6,-2,-1,3,1,4,2,2,-2,3,3,3,6,9
1,8,-2,-3,0,10,2,-2,1,1,0,2,63,-3,1,10,-5,-1,3,1,3,5,4,-4,4,3,0,4,5
2,7,-4,-2,5,4,1,-4,0,1,7,4,55,-4,1,6,-4,-4,3,1,1,2,4,-4,5,3,0,3,2
2,3,-4,-1,6,6,2,-4,0,1,8,1,52,-4,1,7,-2,-2,3,1,1,2,3,-3,5,3,0,3,1
1,2,-4,-1,0,5,2,-3,0,1,7,1,50,-5,1,7,-3,-3,3,1,1,2,4,-5,6,3,0,3,1
2,4,-5,-1,10,9,1,-5,0,2,0,4,34,-4,1,9,-4,-2,3,1,4,2,5,-3,5,4,0,3,1
2,2,-5,-1,0,6,1,-3,5,1,0,1,36,-3,1,10,-5,-2,3,1,2,2,4,-4,3,4,10,5,2
1,3,-4,-1,5,5,1,-5,0,1,0,1,49,-5,1,6,-5,-3,3,1,2,5,3,-3,3,4,0,6,1
1,5,-5,-4,0,7,1,-4,0,2,0,4,29,-4,1,10,-4,-4,3,1,5,5,5,-4,1,4,0,3,3
1,5,-3,-4,5,6,1,-4,0,2,5,1,38,-3,1,8,-3,-4,3,1,2,2,3,-3,5,4,8,2,1
2,2,-4,-4,0,7,1,-3,5,1,0,1,41,-2,1,4,-4,-1,2,10,97,2,4,-4,3,5,10,6,1
1,3,-3,-1,0,7,1,-3,0,2,5,2,83,-3,1,8,-3,-3,2,10,1,2,4,-3,9,5,5,1,1
1,5,-3,-2,8,5,1,-4,0,1,5,1,39,-3,1,7,-3,-2,2,10,4,2,3,-2,6,5,5,6,4
2,4,-5,-2,0,9,2,-3,8,1,0,1,52,-2,1,10,-5,-3,2,10,7,2,5,-4,4,5,10,3,2
1,3,-3,-3,4,8,1,-2,7,1,2,2,52,-2,2,7,-4,-2,2,10,2,2,3,-3,3,5,9,5,2
1,3,-5,-2,5,6,1,-4,3,2,1,1,29,-3,1,8,-3,-3,2,10,2,2,5,-3,5,5,6,3,2
2,3,-3,-3,0,9,1,-3,5,1,0,7,68,-3,1,9,-4,-2,2,10,2,2,4,-4,5,5,10,3,2
2,3,-5,-1,0,10,1,-4,0,1,0,2,72,-2,1,10,-4,-2,2,10,2,2,5,-5,2,5,10,5,4
1,3,-3,-1,7,7,1,-5,0,1,8,2,75,-4,1,8,-2,-2,2,10,1,1,2,-3,8,5,0,6,1
1,6,-5,-1,3,7,1,-5,0,1,2,1,50,-4,1,8,-4,-2,2,10,4,4,3,-3,4,5,1,6,3
1,2,-3,-2,0,8,1,-4,0,1,0,2,63,-3,1,9,-4,-2,2,10,2,5,3,-4,2,5,10,6,1
2,4,-3,-3,2,5,1,-3,0,1,3,1,52,-3,1,7,-3,-1,2,10,4,3,2,-3,9,5,3,6,1
2,3,-3,-4,5,2,1,-4,2,2,4,2,70,-3,1,8,-3,-3,3,10,2,2,4,-4,3,1,8,2,1
1,5,-4,-2,5,5,1,-3,0,1,5,1,64,-4,1,6,-2,-1,3,10,1,2,3,-3,6,1,5,5,1
2,2,-4,-2,0,6,1,-4,0,2,0,7,49,-3,1,7,-4,-1,3,10,97,2,3,-4,6,1,0,4,2
1,1,-4,-2,8,9,1,-4,0,2,8,1,57,-4,1,8,-2,-4,3,10,4,2,4,-3,6,1,0,3,2
2,1,-5,-1,3,5,1,-5,0,1,10,7,70,-5,1,10,-2,-2,3,10,1,1,5,-3,10,4,0,2,1
2,1,-3,-3,0,5,1,-4,0,2,10,2,74,-4,1,10,-2,-2,3,10,1,1,3,-3,10,4,0,5,1
2,5,-5,-4,0,5,1,-5,0,1,0,1,50,-4,1,5,-3,-4,3,10,97,2,5,-3,10,4,0,5,3
1,3,-3,-4,0,7,1,-4,0,1,10,2,77,-4,1,9,-2,-4,3,10,1,1,3,-3,99,4,0,2,1
1,5,-3,-2,5,5,1,-5,0,1,5,1,41,-4,1,6,-3,-2,3,10,4,2,3,-3,5,4,0,5,1
1,1,-4,-2,5,7,1,-3,5,2,0,2,64,-2,1,10,-3,-3,3,10,2,2,4,-4,1,4,10,2,1
2,1,-2,-2,4,7,1,-3,5,1,0,7,64,-2,1,10,-4,-3,3,10,2,1,3,-3,3,4,10,5,1
1,5,-4,-1,0,8,1,-1,10,1,0,1,57,-3,1,9,-4,-1,3,10,3,4,5,-4,1,4,2,4,1
2,4,-4,-2,7,6,1,-4,1,1,7,4,44,-4,1,8,-3,-2,3,10,4,1,4,-3,5,3,6,3,1
2,3,-5,-3,6,5,1,-5,0,1,5,1,54,-3,1,7,-3,-3,3,10,4,2,3,-3,5,3,2,3,1
2,4,-5,-4,3,8,1,-4,0,1,5,6,24,-5,1,9,-5,-4,3,10,97,2,5,-4,99,3,5,4,2
1,4,-3,-1,3,7,1,-2,8,2,0,1,54,-3,1,8,-4,-2,3,10,5,5,4,-3,2,3,5,5,2
1,4,-3,-3,8,7,1,-5,0,2,4,1,30,-3,1,9,-3,-3,3,10,4,5,3,-2,6,3,1,3,2
2,2,-4,-1,8,5,1,-4,0,1,8,7,57,-4,1,8,-2,-2,3,10,4,1,4,-2,8,3,0,3,1
2,4,-5,-4,0,5,1,-4,0,1,1,1,46,-4,1,10,-4,-4,3,10,97,2,5,-4,99,3,2,5,5
2,1,-4,-2,6,8,1,-4,2,1,7,1,21,-3,1,10,-3,-2,3,10,7,2,4,-4,5,3,7,3,2
2,3,-4,-3,4,5,1,-4,0,2,0,2,67,-3,1,10,-5,-3,3,10,2,2,4,-4,1,3,9,1,6
1,3,-4,-2,8,6,1,-5,0,2,7,2,63,-4,1,7,-3,-1,3,10,4,2,3,-3,6,3,0,6,1
2,3,-3,-1,5,5,1,-5,0,1,7,1,62,-4,1,6,-3,-2,3,10,1,2,4,-3,7,3,0,4,1
1,5,-3,-1,0,7,1,-3,0,1,0,1,52,-4,1,9,-5,-1,3,10,7,4,3,-5,4,3,0,6,3
1,4,-3,-2,5,6,1,-3,0,1,0,2,74,-2,1,8,-3,-3,3,10,2,2,3,-2,4,3,10,2,3
1,4,-5,-2,4,6,1,-4,0,1,6,6,19,-4,1,6,-3,-2,3,10,18,2,4,-2,8,3,0,3,2
